    25  1  2  3  4  5  6  7  9 10 11 12 13 15 16 17 18 19 21 22 23 24 25
     1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
     4  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1
     5  1  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1
     6  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
     7  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
     8  0  1  0  0  1  1  1  0  1  0  0  1  1  0  0  0  0  0  0  0  1  0
    10  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
    13  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0
    14  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
    15  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
    16  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
    18  0  0  0  0  0  0  0  1  0  0  1  0  0  0  1  0  0  0  0  0  0  0
    19  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
    20  0  1  0  0  0  1  0  0  0  0  0  1  1  0  0  1  0  1  1  0  0  0
    21  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
    22  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  1  0  0
    24  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1

